degree-program,current-semester,hours-study-per-day-average,hours-per-day-use-mobile phone,GPA-current/previous-semester,expected-GPA-this-course/semester,hours-sleep-per-night,average-class-attendance,hours-per-day-use-social-media-apps,use-mobile-during-study-sessions,preferred-study-time,primary-study-method,revise-within-24-hours-after-class,start–preparing-exams,academic-stress-level,motivation-level,procrastinate
BS Data Science,6,1.7,3.9,2.99,3.18,6.4,97.5,4.4,Sometimes,Late night,Mixed,Rarely,Last day,5,4,Sometimes
BS Data Science,2,2.3,3.1,2.27,3.57,8.7,85.5,2.3,Rarely,Afternoon,Practice questions,Sometimes,1 week before,2,4,Yes
BSCS,5,2.3,1.6,2.27,2.44,10.9,83.7,1.1,Rarely,Late night,Mixed,Rarely,Throughout the semester,4,2,Sometimes
BS Software Engineering,5,1.5,3.7,3.19,3.38,6.0,86.9,4.2,Often,Morning,Practice questions,Sometimes,1 week before,4,4,Yes
BS Data Science,5,1.9,1.8,2.78,3.56,5.9,91.6,1.6,Sometimes,Evening,Mixed,Always,Throughout the semester,5,1,Sometimes
BS Software Engineering,5,1.7,4.4,0.0,3.31,6.0,74.0,2.5,Sometimes,Late night,Group study,Never,Last day,4,1,Yes
Docter of optometry,5,5.2,1.5,2.59,3.75,7.2,85.6,4.5,Always,Late night,Mixed,Rarely,Throughout the semester,5,1,No
BS Software Engineering,4,1.6,3.7,4.0,3.22,6.2,90.8,1.0,Sometimes,Evening,Mixed,Sometimes,1 week before,4,3,Sometimes
BS Data Science,1,3.9,4.5,3.72,3.75,6.4,97.5,2.9,Sometimes,Late night,Video lectures,Sometimes,1 week before,4,4,Sometimes
BS Computer Science,2,4.5,3.7,2.29,3.26,6.2,74.5,2.4,Rarely,Evening,Mixed,Rarely,Throughout the semester,3,1,No
BS Data Science,3,1.9,3.3,2.57,3.75,7.1,89.3,1.3,Sometimes,Morning,Mixed,Rarely,Last day,2,2,Sometimes
BBA,2,5.5,3.7,3.25,3.21,6.4,83.9,1.6,Rarely,Afternoon,Video lectures,Rarely,Throughout the semester,2,4,Sometimes
BBA,5,4.2,3.6,0.0,3.24,5.8,77.8,3.0,Rarely,Late night,Practice questions,Rarely,1 week before,5,1,No
BS Data Science,5,3.5,3.4,2.42,3.19,6.5,94.9,0.7,Sometimes,Morning,Practice questions,Often,1 week before,2,2,Sometimes
DPT,2,1.5,3.2,2.27,3.55,7.7,90.1,3.0,Sometimes,Late night,Reading notes,Sometimes,Throughout the semester,4,1,Sometimes
BS Data Science,6,1.9,1.5,0.0,2.51,6.8,88.6,4.0,Sometimes,Late night,Mixed,Rarely,Last day,5,1,Yes
BS Accounting & finance,5,1.5,4.5,3.8,3.62,11.0,87.1,2.4,Sometimes,Morning,Mixed,Sometimes,1 week before,3,5,Sometimes
BS Data Science,5,1.5,3.9,2.11,3.19,6.7,84.6,1.9,Sometimes,Evening,Mixed,Rarely,1 week before,2,4,Yes
BS AI,2,5.4,2.2,2.08,3.11,14.5,79.0,1.5,Sometimes,Evening,Video lectures,Often,Throughout the semester,2,1,Sometimes
BS Computer Science,3,5.5,4.5,3.25,3.53,6.1,79.3,3.0,Sometimes,Morning,Mixed,Sometimes,1 week before,3,5,Sometimes
BSCS,5,2.1,4.5,2.8,3.75,5.8,93.4,3.4,Sometimes,Morning,Mixed,Sometimes,1 week before,3,5,No
BS Software Engineering,4,1.5,3.1,4.0,3.18,6.1,89.6,2.4,Sometimes,Evening,Mixed,Sometimes,2–3 days before,2,3,Yes
BS Data Science,5,2.5,1.5,2.8,3.23,6.5,95.1,4.2,Sometimes,Morning,Mixed,Rarely,1 week before,3,1,Sometimes
BBA,3,1.6,3.7,1.88,3.36,13.5,71.9,0.9,Never,Late night,Mixed,Never,2–3 days before,5,1,Sometimes
BS Urdu,5,1.5,3.8,1.17,3.12,5.7,97.5,2.3,Sometimes,Late night,Video lectures,Never,Last day,5,1,Yes
BS Data Science,4,4.9,1.7,2.59,3.28,6.3,93.5,0.4,Rarely,Late night,Mixed,Sometimes,Throughout the semester,4,2,Sometimes
BS Software Engineering,4,1.5,2.3,4.0,3.19,6.8,97.5,2.9,Sometimes,Late night,Video lectures,Rarely,1 week before,2,1,Yes
BBA,4,1.5,2.5,3.29,3.65,2.5,94.2,3.3,Sometimes,Late night,Mixed,Never,Throughout the semester,3,3,No
BS Data Science,4,1.8,4.2,3.73,3.75,5.9,91.6,2.5,Sometimes,Afternoon,Mixed,Rarely,Throughout the semester,2,3,Sometimes
BS Data Science,2,4.8,2.6,1.9,3.35,2.5,84.0,2.0,Often,Evening,Mixed,Always,Throughout the semester,5,2,Sometimes
BS Data Science,5,1.5,3.5,1.68,3.31,6.6,89.7,1.6,Sometimes,Late night,Mixed,Never,1 week before,2,3,Sometimes
BS Data Science,6,1.5,3.4,2.49,3.3,8.0,70.2,4.4,Sometimes,Late night,Practice questions,Never,Last day,5,1,Yes
BS Data Science,5,1.5,4.3,2.66,3.11,7.3,92.0,1.9,Rarely,Afternoon,Mixed,Often,Throughout the semester,0,5,Sometimes
BS Accounting & finance,7,4.6,1.5,2.36,3.18,6.7,76.5,1.1,Never,Evening,Group study,Rarely,2–3 days before,0,2,Sometimes
BS Software Engineering,5,3.9,4.5,2.32,3.3,13.2,74.5,1.8,Always,Late night,Mixed,Rarely,2–3 days before,4,2,Sometimes
BS Data Science,1,1.9,4.5,2.32,3.2,6.7,60.0,2.9,Sometimes,Morning,Mixed,Rarely,Last day,4,2,Sometimes
BS Software Engineering,5,1.5,4.5,3.28,3.6,6.5,80.7,4.3,Often,Late night,Mixed,Rarely,Last day,4,4,Sometimes
BS AI,3,1.5,1.9,1.8,3.36,6.6,84.2,0.7,Rarely,Late night,Practice questions,Rarely,1 week before,0,4,Yes
BS Data Science,2,5.5,3.6,1.32,3.24,5.2,71.4,1.4,Often,Late night,Mixed,Often,2–3 days before,5,2,Yes
BS AI,1,4.5,1.5,2.69,3.22,6.7,91.0,2.7,Rarely,Afternoon,Practice questions,Often,Throughout the semester,2,2,Sometimes
BS Data Science,4,1.5,3.7,3.23,3.18,6.3,65.7,3.5,Always,Late night,Mixed,Sometimes,Throughout the semester,5,1,Sometimes
BS Software Engineering,4,1.5,1.8,3.28,3.18,6.6,86.8,4.5,Often,Evening,Mixed,Rarely,2–3 days before,3,1,Yes
BS Data Science,7,1.5,3.0,0.0,3.75,5.9,88.6,3.1,Sometimes,Late night,Mixed,Never,Last day,5,2,Yes
BS Mathematics,5,1.5,3.7,4.0,3.59,6.7,90.0,3.4,Sometimes,Morning,Mixed,Sometimes,1 week before,5,1,Sometimes
DPT,2,1.6,3.6,2.89,3.33,10.9,76.2,3.2,Always,Morning,Reading notes,Rarely,Last day,4,1,Sometimes
BS Software Engineering,5,1.5,3.8,4.0,3.74,6.6,91.7,3.4,Sometimes,Evening,Mixed,Rarely,1 week before,4,3,Sometimes
BS Data Science,1,1.8,2.1,3.52,3.35,6.1,70.7,1.5,Always,Evening,Mixed,Sometimes,2–3 days before,4,1,Sometimes
BBA,5,1.5,4.5,3.08,3.2,6.1,92.6,4.1,Sometimes,Morning,Mixed,Never,1 week before,4,1,Sometimes
BBA,5,1.6,2.3,3.25,3.23,6.7,80.2,4.5,Sometimes,Morning,Video lectures,Often,1 week before,4,1,No
BS AI,7,1.6,3.7,2.63,3.6,13.3,90.3,4.5,Rarely,Evening,Group study,Never,2–3 days before,0,5,Sometimes
BS AI,2,3.5,2.4,3.16,3.72,7.0,97.5,1.0,Rarely,Afternoon,Mixed,Sometimes,Throughout the semester,4,4,Sometimes
BS Software Engineering,4,2.1,3.2,2.81,3.3,13.2,97.5,3.4,Sometimes,Late night,Video lectures,Rarely,Throughout the semester,5,5,Sometimes
BS Mathematics,2,3.3,1.5,0.0,3.75,8.2,92.4,0.3,Rarely,Late night,Mixed,Often,2–3 days before,3,3,Sometimes
BS Accounting & finance,4,4.4,3.5,0.0,3.71,6.4,92.6,1.1,Sometimes,Late night,Mixed,Often,Throughout the semester,2,2,Sometimes
BS AI,5,1.5,3.2,3.75,3.3,6.4,97.2,2.7,Rarely,Late night,Practice questions,Sometimes,Throughout the semester,4,2,Sometimes
BS Data Science,5,1.5,4.5,2.99,3.25,6.5,93.7,4.5,Sometimes,Late night,Mixed,Never,Last day,3,1,Sometimes
BS Data Science,2,5.4,1.5,1.93,3.36,13.1,80.9,0.2,Rarely,Late night,Group study,Often,Throughout the semester,5,2,Sometimes
BBA,6,1.5,3.7,3.5,3.21,6.7,88.8,3.2,Often,Morning,Mixed,Sometimes,Last day,5,4,No
Radiology,1,4.7,2.4,3.06,3.13,6.6,97.3,1.2,Sometimes,Evening,Video lectures,Never,1 week before,1,2,Yes
BS Accounting & finance,5,3.5,3.8,3.37,3.15,6.5,89.5,1.9,Sometimes,Morning,Video lectures,Sometimes,1 week before,4,3,Sometimes
BS Software Engineering,1,2.1,3.3,4.0,3.27,6.6,80.6,4.5,Often,Morning,Mixed,Sometimes,1 week before,5,2,Yes
BS Software Engineering,5,5.0,3.3,2.44,3.37,13.9,73.5,4.5,Always,Morning,Mixed,Never,2–3 days before,0,1,Sometimes
BS Data Science,5,1.6,4.5,1.98,3.38,6.4,70.7,1.4,Rarely,Afternoon,Mixed,Sometimes,Throughout the semester,4,2,Sometimes
BS AI,4,1.5,3.3,1.65,3.36,7.2,71.5,3.9,Sometimes,Morning,Mixed,Rarely,2–3 days before,5,1,Sometimes
BS Data Science,7,3.7,4.4,2.56,3.56,6.2,89.4,4.5,Always,Late night,Mixed,Rarely,Last day,4,2,Sometimes
BS Data Science,5,1.7,3.6,2.99,3.31,6.6,86.4,2.8,Sometimes,Morning,Mixed,Rarely,1 week before,5,1,Sometimes
BS AI,5,1.6,4.5,4.0,3.11,6.5,92.6,4.5,Sometimes,Morning,Mixed,Sometimes,Last day,5,1,No
BS Data Science,3,1.5,2.7,1.73,3.24,6.4,81.2,3.2,Rarely,Late night,Mixed,Rarely,Throughout the semester,5,2,Sometimes
BS Data Science,5,1.5,4.5,3.03,3.33,5.8,77.1,3.3,Sometimes,Morning,Mixed,Never,Last day,5,1,Yes
BS AI,2,1.7,3.4,2.71,3.51,4.3,91.0,3.7,Often,Late night,Mixed,Never,Last day,5,1,Yes
DPT,5,1.5,3.0,3.04,3.2,6.6,84.3,3.7,Always,Morning,Mixed,Never,2–3 days before,5,1,No
BS Data Science,6,5.2,2.9,2.34,3.24,5.9,78.7,4.1,Sometimes,Late night,Mixed,Rarely,1 week before,5,1,Sometimes
BSCS,2,5.5,1.5,4.0,3.33,5.9,84.8,2.8,Rarely,Evening,Video lectures,Sometimes,1 week before,2,4,No
BS Software Engineering,4,2.1,3.5,2.22,2.77,7.1,91.4,2.7,Sometimes,Evening,Mixed,Sometimes,Last day,3,2,Yes
BS Data Science,6,1.5,3.6,1.8,3.28,5.3,89.0,3.8,Often,Morning,Mixed,Always,2–3 days before,4,2,Yes
BS Software Engineering,5,2.2,3.1,4.0,3.17,6.4,76.5,2.2,Often,Evening,Group study,Never,1 week before,5,1,Sometimes
BS Software Engineering,2,1.5,1.9,0.0,3.27,6.8,92.6,4.4,Rarely,Late night,Mixed,Never,1 week before,5,4,No
BS Data Science,5,5.5,2.8,3.22,3.57,6.9,97.2,0.5,Sometimes,Morning,Mixed,Always,1 week before,3,1,Sometimes
BS Data Science,5,1.8,3.7,2.16,2.49,10.6,74.8,2.8,Sometimes,Morning,Practice questions,Never,2–3 days before,2,1,Sometimes
BS English,2,5.3,3.7,2.18,3.51,3.9,91.0,2.5,Sometimes,Late night,Mixed,Sometimes,Throughout the semester,0,4,Sometimes
BBA,7,3.1,1.8,3.92,3.75,6.3,87.5,3.7,Sometimes,Morning,Video lectures,Often,1 week before,1,3,Yes
BS Software Engineering,5,1.6,4.5,3.3,2.9,6.6,94.7,4.5,Sometimes,Morning,Mixed,Rarely,Last day,5,1,Yes
BS Mathematics,7,3.9,4.3,1.91,3.24,11.2,93.5,1.6,Rarely,Late night,Mixed,Sometimes,Throughout the semester,5,4,Sometimes
BBA,2,1.5,2.5,3.49,2.25,6.5,97.1,4.1,Sometimes,Late night,Mixed,Never,Throughout the semester,3,2,Sometimes
BS Data Science,5,4.1,2.4,1.66,3.39,7.5,76.2,4.2,Sometimes,Late night,Mixed,Sometimes,Last day,3,1,Yes
BS Data Science,3,2.0,1.9,2.38,3.75,14.5,85.7,0.8,Rarely,Late night,Group study,Often,2–3 days before,5,2,Sometimes
BS Data Science,5,4.1,3.4,3.34,3.32,14.5,89.2,2.4,Always,Morning,Mixed,Sometimes,Throughout the semester,0,3,Yes
BS Software Engineering,2,1.9,3.8,3.39,3.18,5.5,88.4,3.7,Sometimes,Evening,Mixed,Never,Last day,3,1,Yes
BS AI,2,2.1,3.6,1.55,3.26,10.9,82.2,1.3,Rarely,Late night,Mixed,Sometimes,Throughout the semester,2,3,No
BS AI,2,1.8,4.5,2.99,3.39,6.3,96.7,2.1,Never,Evening,Mixed,Sometimes,Throughout the semester,3,4,No
BS Software Engineering,5,3.1,4.0,1.84,3.27,7.0,71.2,1.1,Sometimes,Morning,Reading notes,Sometimes,1 week before,3,2,Sometimes
BS Data Science,5,1.6,3.5,2.27,3.26,6.8,83.1,4.5,Always,Morning,Mixed,Never,1 week before,5,1,Yes
BS Data Science,3,3.1,4.5,2.86,3.75,6.4,97.5,1.6,Sometimes,Late night,Mixed,Rarely,Last day,5,4,Sometimes
BS Data Science,6,2.3,1.8,2.04,3.31,13.9,77.7,1.1,Rarely,Late night,Mixed,Rarely,Throughout the semester,3,2,Sometimes
BS AI,2,1.6,4.0,0.0,3.74,6.0,95.4,3.2,Rarely,Afternoon,Mixed,Sometimes,Throughout the semester,5,3,Sometimes
BS Computer Science,4,1.7,1.9,2.91,2.65,9.3,93.5,2.8,Often,Late night,Mixed,Often,Last day,4,2,No
BS Data Science,4,4.1,1.6,1.8,3.17,6.6,90.0,3.4,Sometimes,Late night,Video lectures,Sometimes,Throughout the semester,3,1,Yes
BBA,5,1.5,3.5,4.0,2.82,5.9,83.5,4.5,Often,Morning,Mixed,Sometimes,1 week before,4,4,Yes
BS Data Science,6,1.8,4.0,3.65,3.73,6.9,91.6,2.9,Never,Morning,Mixed,Rarely,1 week before,4,1,Sometimes
BS English,3,1.7,1.9,4.0,3.69,6.4,81.2,2.6,Sometimes,Late night,Practice questions,Often,2–3 days before,5,3,Sometimes
BS Software Engineering,1,1.5,3.7,3.72,3.75,5.4,94.4,4.1,Always,Evening,Mixed,Sometimes,1 week before,4,5,Yes
BS Data Science,5,1.5,3.9,3.79,3.11,6.1,97.5,4.5,Sometimes,Late night,Mixed,Sometimes,2–3 days before,5,3,Yes
BS Data Science,6,1.5,2.1,3.14,3.41,7.1,87.0,4.0,Often,Afternoon,Mixed,Rarely,1 week before,2,4,Sometimes
BS AI,3,3.5,2.6,1.69,3.11,6.2,88.4,2.7,Never,Late night,Video lectures,Always,Last day,2,2,Sometimes
BS Data Science,2,1.8,3.5,2.56,2.96,3.8,74.4,3.0,Rarely,Afternoon,Mixed,Always,1 week before,4,3,Yes
BSCS,1,4.7,1.8,2.4,3.26,12.9,77.7,0.6,Often,Late night,Mixed,Often,2–3 days before,0,4,Sometimes
BS Data Science,6,1.9,3.5,1.83,3.13,14.5,60.0,3.2,Rarely,Afternoon,Mixed,Rarely,1 week before,5,1,Sometimes
BBA,4,2.3,3.1,4.0,3.3,6.5,97.5,0.5,Often,Morning,Mixed,Sometimes,1 week before,5,4,Sometimes
BS English,5,1.6,3.6,4.0,3.26,6.1,76.9,4.5,Sometimes,Morning,Practice questions,Sometimes,1 week before,4,3,No
BS Software Engineering,1,5.0,2.9,2.41,3.47,8.4,75.7,2.0,Sometimes,Morning,Mixed,Rarely,Last day,4,3,Yes
BS Data Science,1,4.9,1.5,0.0,3.29,14.5,97.3,2.7,Sometimes,Late night,Mixed,Rarely,2–3 days before,0,3,Sometimes
BS English,4,1.9,3.4,2.1,3.33,6.3,73.3,2.8,Often,Evening,Mixed,Rarely,Last day,4,1,Yes
BS AI,3,2.0,2.5,2.03,3.11,5.9,96.4,2.0,Sometimes,Late night,Mixed,Often,Last day,5,4,Sometimes
DPT,6,5.1,2.4,4.0,3.29,5.9,97.5,1.6,Always,Morning,Mixed,Sometimes,Throughout the semester,4,3,Yes
BSCS,5,1.9,1.5,2.82,3.31,6.4,84.6,2.4,Sometimes,Evening,Practice questions,Sometimes,Last day,4,1,Yes
BS AI,4,1.5,3.6,0.0,3.35,4.4,72.7,1.3,Sometimes,Morning,Practice questions,Never,2–3 days before,4,4,Sometimes
BSCS,1,1.6,3.2,3.67,3.34,5.8,95.3,3.5,Sometimes,Evening,Practice questions,Always,2–3 days before,4,2,Sometimes
BS Software Engineering,2,2.0,4.1,2.78,3.1,6.6,90.2,4.1,Sometimes,Afternoon,Mixed,Sometimes,Throughout the semester,5,1,Sometimes
BS Mathematics,5,1.6,4.3,2.46,3.3,10.9,88.2,3.3,Rarely,Late night,Mixed,Rarely,Last day,5,1,Sometimes
BS Data Science,4,1.8,3.6,2.22,3.44,7.0,91.7,2.9,Often,Evening,Group study,Often,1 week before,2,4,No
BS AI,1,3.7,4.5,0.71,3.72,6.2,91.6,3.3,Rarely,Evening,Mixed,Rarely,Throughout the semester,3,1,Sometimes
BBA,5,4.2,2.0,2.74,3.23,6.8,86.9,0.8,Sometimes,Afternoon,Mixed,Rarely,1 week before,3,1,No
BS Data Science,1,5.5,4.2,3.18,3.26,6.0,96.5,0.7,Sometimes,Late night,Mixed,Sometimes,Throughout the semester,5,5,Sometimes
BS Accounting & finance,3,2.0,1.5,2.21,3.2,6.0,81.9,1.9,Rarely,Late night,Mixed,Rarely,Throughout the semester,5,3,No
BS Software Engineering,3,4.2,4.5,0.0,3.05,6.3,89.3,3.0,Sometimes,Morning,Mixed,Never,1 week before,3,3,Sometimes
BS Data Science,5,1.7,3.6,3.59,3.75,6.0,87.5,4.3,Sometimes,Evening,Mixed,Never,Throughout the semester,4,1,Yes
BS Software Engineering,5,1.7,3.6,3.26,3.16,6.2,60.0,2.5,Sometimes,Morning,Video lectures,Rarely,Throughout the semester,5,1,No
BS Computer Science,7,2.2,3.5,2.54,3.31,5.9,76.4,3.7,Rarely,Late night,Mixed,Sometimes,1 week before,3,2,Sometimes
BS Data Science,5,1.5,3.4,2.54,3.72,14.5,87.0,4.5,Rarely,Late night,Mixed,Never,Last day,5,1,Yes
BS Data Science,4,4.4,4.5,2.53,3.2,6.1,95.4,2.3,Often,Late night,Mixed,Sometimes,Throughout the semester,4,4,No
BS Software Engineering,5,1.5,3.9,1.98,2.44,2.5,91.4,4.1,Sometimes,Morning,Mixed,Often,Last day,4,2,Sometimes
BBA,7,1.7,3.3,2.74,3.75,7.7,76.8,3.8,Never,Evening,Mixed,Rarely,1 week before,3,2,Yes
BS Software Engineering,1,1.5,3.5,3.18,3.29,6.5,84.5,3.2,Sometimes,Evening,Video lectures,Sometimes,Last day,1,3,Yes
BS Data Science,5,1.8,3.4,3.52,3.14,8.9,85.1,2.9,Sometimes,Morning,Mixed,Rarely,Last day,5,2,Sometimes
BS AI,4,1.8,1.5,1.63,3.65,10.8,79.0,2.0,Sometimes,Late night,Group study,Rarely,Throughout the semester,5,2,Yes
BS Data Science,2,1.6,3.5,2.67,3.64,6.1,86.1,2.9,Rarely,Morning,Reading notes,Never,2–3 days before,5,1,Sometimes
BS Accounting & finance,3,1.9,1.5,3.21,3.15,3.5,95.0,4.5,Sometimes,Afternoon,Mixed,Sometimes,Throughout the semester,3,1,No
BS Accounting & finance,5,5.5,4.4,0.0,3.29,7.1,71.5,3.7,Often,Morning,Video lectures,Never,Last day,4,3,Yes
BS English,7,2.1,4.4,2.34,3.3,6.8,72.9,2.7,Rarely,Late night,Mixed,Rarely,Throughout the semester,4,1,Sometimes
DPT,3,5.3,1.8,0.47,2.71,13.8,89.2,1.6,Rarely,Evening,Mixed,Often,Throughout the semester,3,1,Sometimes
BS Data Science,4,1.5,4.0,1.5,3.75,6.8,68.5,3.6,Often,Late night,Mixed,Never,Last day,2,5,Sometimes
BS Software Engineering,5,1.6,4.2,3.9,3.75,6.2,92.2,3.7,Sometimes,Evening,Mixed,Rarely,1 week before,2,5,Sometimes
Docter of optometry,4,1.5,4.5,3.5,3.75,6.9,90.9,4.2,Sometimes,Late night,Mixed,Rarely,1 week before,5,3,Sometimes
BS Data Science,2,1.5,3.3,4.0,3.3,6.2,94.1,4.5,Often,Morning,Practice questions,Never,1 week before,5,1,Yes
BS Data Science,2,3.0,3.5,4.0,3.32,6.5,94.4,2.7,Sometimes,Afternoon,Mixed,Often,Throughout the semester,2,4,Yes
BS AI,3,3.8,2.7,1.62,3.26,5.9,86.9,4.4,Rarely,Evening,Mixed,Sometimes,Throughout the semester,4,3,Yes
BS Data Science,5,3.6,3.1,4.0,3.75,6.4,92.4,4.5,Sometimes,Afternoon,Group study,Sometimes,1 week before,4,4,Sometimes
BS Computer Science,5,1.8,1.8,1.97,3.3,9.9,77.0,1.0,Always,Morning,Video lectures,Never,Last day,5,1,Yes
BS English,4,3.8,1.5,2.37,3.13,7.2,89.6,0.7,Sometimes,Late night,Reading notes,Never,Throughout the semester,4,2,Sometimes
Docter of optometry,5,1.5,4.5,2.33,3.61,14.0,81.6,2.6,Always,Late night,Mixed,Often,1 week before,1,3,Sometimes
BS Computer Science,5,1.5,4.5,3.64,3.25,6.0,86.9,2.8,Sometimes,Evening,Mixed,Rarely,1 week before,2,4,Sometimes
BBA,3,5.4,1.5,1.8,3.26,12.8,77.6,2.6,Rarely,Late night,Mixed,Always,Throughout the semester,5,1,Sometimes
BS Data Science,5,1.5,4.2,2.14,3.14,6.4,91.6,4.5,Sometimes,Late night,Reading notes,Rarely,Last day,1,1,Sometimes
BS Data Science,6,1.9,3.9,3.48,2.83,6.4,78.4,4.1,Never,Morning,Mixed,Sometimes,2–3 days before,5,2,Sometimes
BS Software Engineering,5,1.7,3.4,3.43,3.34,5.8,90.0,3.3,Sometimes,Late night,Mixed,Rarely,Last day,3,1,Sometimes
BS Data Science,3,1.6,4.2,3.02,3.32,7.0,84.3,4.2,Sometimes,Morning,Mixed,Rarely,Last day,0,4,Yes
BBA,2,1.7,3.1,0.05,3.18,6.1,74.4,1.5,Sometimes,Evening,Mixed,Sometimes,Throughout the semester,4,1,Yes
BS Software Engineering,2,1.5,3.9,3.57,3.26,6.1,91.7,2.1,Sometimes,Evening,Mixed,Sometimes,1 week before,4,1,Yes
BS AI,1,1.5,3.4,3.32,3.44,6.4,88.5,4.5,Often,Evening,Mixed,Sometimes,Throughout the semester,4,1,No
BS Data Science,6,3.2,2.7,4.0,3.75,13.0,95.7,4.5,Sometimes,Evening,Practice questions,Never,Throughout the semester,3,4,Sometimes
BS Data Science,4,1.6,3.6,2.1,3.75,7.2,91.8,1.5,Rarely,Late night,Mixed,Sometimes,1 week before,3,4,Sometimes
BS Accounting & finance,3,1.8,3.6,1.83,3.34,6.7,77.8,3.2,Rarely,Late night,Reading notes,Often,Throughout the semester,5,1,Yes
BBA,5,1.5,1.5,2.96,3.23,7.1,84.2,3.2,Sometimes,Morning,Video lectures,Rarely,1 week before,5,1,No
BS Data Science,5,1.7,3.4,2.66,3.21,5.6,81.9,2.0,Sometimes,Evening,Video lectures,Never,Throughout the semester,5,1,No
Radiology,4,1.8,2.4,2.37,3.31,10.5,88.1,1.2,Rarely,Late night,Mixed,Rarely,2–3 days before,4,1,Sometimes
BS Computer Science,2,2.0,3.6,2.9,3.22,11.5,85.6,4.2,Rarely,Morning,Mixed,Sometimes,2–3 days before,5,2,Sometimes
BSCS,3,1.5,3.2,2.34,2.68,10.9,74.0,2.6,Never,Late night,Mixed,Never,1 week before,5,1,Yes
BS Data Science,5,1.5,3.9,2.53,3.28,6.4,88.2,3.1,Often,Late night,Mixed,Sometimes,1 week before,4,4,Sometimes
BS Urdu,1,5.5,3.5,3.83,3.4,12.1,88.6,3.2,Sometimes,Late night,Mixed,Never,Last day,1,4,No
BS Data Science,5,2.1,3.8,2.23,3.22,6.7,80.7,4.1,Sometimes,Late night,Mixed,Rarely,2–3 days before,5,2,Yes
BS AI,5,1.5,3.7,2.19,3.75,6.3,82.0,3.8,Rarely,Late night,Mixed,Often,1 week before,1,5,Sometimes
BS Data Science,3,1.8,3.3,2.43,3.75,13.5,92.5,0.0,Often,Evening,Mixed,Often,2–3 days before,5,1,Sometimes
BS AI,5,5.5,3.2,0.0,3.27,5.4,88.5,2.9,Never,Evening,Mixed,Rarely,Last day,5,1,Yes
BBA,6,5.0,1.9,3.47,3.75,6.7,80.4,2.2,Never,Evening,Mixed,Often,1 week before,4,4,No
BS Data Science,5,1.5,4.5,4.0,3.75,6.3,82.0,2.2,Sometimes,Morning,Mixed,Always,Last day,4,2,Yes
BS Data Science,3,4.3,3.6,0.28,3.22,12.4,72.6,1.8,Sometimes,Late night,Video lectures,Never,Throughout the semester,4,1,Yes
BS Data Science,1,4.6,1.7,2.85,3.75,11.3,89.5,1.0,Often,Morning,Mixed,Often,2–3 days before,2,2,Sometimes
Docter of optometry,5,1.7,3.6,2.55,3.36,7.2,88.1,4.2,Never,Morning,Mixed,Sometimes,2–3 days before,4,2,Yes
BS Software Engineering,3,1.6,4.3,3.73,3.41,6.2,89.5,1.2,Sometimes,Morning,Mixed,Never,1 week before,2,1,Sometimes
BSCS,4,1.8,3.6,2.96,3.32,6.9,87.4,4.5,Sometimes,Morning,Mixed,Rarely,Throughout the semester,4,1,Sometimes
BS AI,7,1.5,4.5,4.0,3.54,2.5,93.4,4.3,Sometimes,Late night,Reading notes,Sometimes,1 week before,4,5,No
BS English,4,5.5,2.9,2.83,3.75,9.6,80.1,1.4,Sometimes,Late night,Practice questions,Rarely,Throughout the semester,4,3,No
BS Software Engineering,4,1.5,3.8,2.64,2.62,5.6,94.6,4.5,Often,Late night,Mixed,Sometimes,1 week before,2,4,Yes
BS Software Engineering,3,2.5,1.6,2.58,3.19,5.1,97.5,3.9,Never,Late night,Practice questions,Sometimes,Throughout the semester,2,1,Sometimes
BS AI,5,2.1,3.7,3.38,3.75,5.7,95.6,1.4,Sometimes,Morning,Reading notes,Never,Last day,5,1,Yes
BS Mathematics,6,5.3,2.2,1.93,3.34,7.6,75.8,3.8,Sometimes,Morning,Mixed,Never,Throughout the semester,5,3,Sometimes
BBA,5,1.5,3.3,3.8,3.23,6.3,80.1,2.7,Sometimes,Morning,Mixed,Rarely,1 week before,1,1,Sometimes
BS English,3,5.5,3.7,3.44,3.37,6.9,75.8,3.0,Sometimes,Morning,Video lectures,Rarely,Throughout the semester,2,1,No
BS Data Science,4,1.5,3.5,2.75,3.25,6.6,91.9,2.1,Sometimes,Late night,Mixed,Rarely,Last day,5,1,Yes
BS Accounting & finance,5,1.7,3.7,3.93,3.75,5.5,81.7,1.4,Sometimes,Evening,Mixed,Never,2–3 days before,5,1,Sometimes
BS Software Engineering,6,1.5,3.5,3.14,3.1,6.0,96.8,1.7,Sometimes,Morning,Mixed,Rarely,1 week before,5,4,Sometimes
BS Urdu,5,1.7,1.5,1.63,3.11,6.4,73.5,1.6,Rarely,Evening,Mixed,Always,Throughout the semester,5,1,Sometimes
DPT,4,5.0,1.5,2.02,3.21,6.7,73.2,3.0,Rarely,Late night,Mixed,Often,Throughout the semester,2,2,Sometimes
BS Mathematics,7,1.5,3.8,2.32,3.29,6.4,85.8,3.5,Often,Late night,Practice questions,Never,Last day,5,1,Yes
BS Data Science,6,1.7,4.1,2.28,3.24,6.7,76.6,2.0,Rarely,Late night,Mixed,Often,2–3 days before,2,5,Sometimes
BS Software Engineering,5,1.5,3.2,2.03,3.38,6.5,87.9,1.6,Often,Evening,Mixed,Never,Last day,4,1,Yes
